FID,the_geom,ID,ID1,COD_TS,SIMT,COMUNA,EJE,DESDE_CRUC,HACIA_CRUC,NOMBRE_PAR,X,Y,N_ET,N_ZP,ZP_HORARIO,FREPMA,FREPTA,NSERVICIOS,SERVICIOS,MULTIPLE_F
paradas_frecuentes.11050,POINT (358689.876109935 6306881.388892459),4288,4288,T-16-138-PO-2,PC424,LO BARNECHEA,RAéL LABB,CAMINO TURÖSTICO,AVENIDA LA DEHESA,Mampato,358689.89,6306881.34,,,,72.5,58.33,9,409I;426I;430I;C08R;C09R;C12R;C13I;C16I;C19R,T-16-138-PO-2|PC424|409I;426I;430I;C08R;C09R;C12R;C13I;C16I;C19R
paradas_frecuentes.11051,POINT (358817.72478825337 6307035.6371044135),4787,4787,T-16-138-OP-10,PC1086,LO BARNECHEA,RAéL LABB,AVENIDA  LA DEHESA,EL RADAL,Ra£l Labb esq. / El Radal,358817.7248,6307035.6371,,,,17.5,18.33,2,426R;430R,T-16-138-OP-10|PC1086|426R;430R
paradas_frecuentes.11052,POINT (358825.5210684503 6307899.483396856),7004,7004,L-16-14-90-NS,PC780,LO BARNECHEA,AVENIDA LA DEHESA,LOS ADOBES,EL TRANQUE,Portal La Dehesa,358825.5211,6307899.4834,,,,22,21,4,C08I;C09I;C12I;C19I,L-16-14-90-NS|PC780|C08I;C09I;C12I;C19I
paradas_frecuentes.11053,POINT (358858.944970544 6307898.639319479),4774,4774,L-16-14-95-SN,PC427,LO BARNECHEA,AVENIDA LA DEHESA,CDTE MALBEC,LOS ADOBES,Portal La Dehesa,358858.945,6307898.6393,,,,47.5,37.67,6,426I;430I;C08R;C09R;C12R;C19R,L-16-14-95-SN|PC427|426I;430I;C08R;C09R;C12R;C19R
paradas_frecuentes.11054,POINT (355596.97510536737 6309546.802499585),6995,6995,L-16-11-45-PO,PC768,LO BARNECHEA,CAMINO REAL,CAMINO DEL ALTO CLARO,CAMINO DEL MISIONERO,Camino Real esq. / Cam. del Misionero,355596.9751,6309546.8025,,,,4,4,1,C08I,L-16-11-45-PO|PC768|C08I
paradas_frecuentes.11055,POINT (355641.81257817324 6309561.333419564),7013,7013,L-16-11-40-OP,PC795,LO BARNECHEA,CAMINO REAL,PLAZA DEL RETIRO,CAMINO DEL MISIONERO,Camino Real esq. / Cam. del Misionero,355641.8126,6309561.3334,,,,4,4,1,C08R,L-16-11-40-OP|PC795|C08R
paradas_frecuentes.11056,POINT (355372.45761221024 6309877.176291933),6994,6994,L-16-11-25-NS,PC767,LO BARNECHEA,CAMINO REAL,EL GOLF DE MANQUEHUE,CAMINO AGUA DEL CARRIZAL,Camino Real esq. / Cam. Agua del Carrizal,355372.4576,6309877.1763,,,,4,4,1,C08I,L-16-11-25-NS|PC767|C08I
paradas_frecuentes.11057,POINT (355400.5555360934 6309828.241589332),7014,7014,L-16-11-30-SN,PC796,LO BARNECHEA,CAMINO REAL,CAMINO DEL ALTO CLARO,CAMINO AGUA DEL CARRIZAL,Camino Real esq. / Agua del Carrizal,355400.5588,6309828.1982,,,,4,4,1,C08R,L-16-11-30-SN|PC796|C08R
paradas_frecuentes.11058,POINT (355394.5712432966 6310104.754605224),7015,7015,L-16-11-20-SN,PC797,LO BARNECHEA,CAMINO REAL,CAMINO AGUA DEL CARRIZAL,EL GOLF DE MANQUEHUE,Camino Real esq. / Golf de Manquehue,355394.5712,6310104.7546,,,,4,4,1,C08R,L-16-11-20-SN|PC797|C08R
paradas_frecuentes.11059,POINT (355370.2509720734 6310162.507296132),6993,6993,L-16-11-15-NS,PC766,LO BARNECHEA,CAMINO REAL,CAMINO DEL MONASTERIO,EL GOLF DE MANQUEHUE,Camino Real esq. / Golf de Manquehue,355370.251,6310162.5073,,,,4,4,1,C08I,L-16-11-15-NS|PC766|C08I
paradas_frecuentes.11060,POINT (355391.91368447756 6310532.816059861),6992,6992,L-16-11-10-NS,PC765,LO BARNECHEA,CAMINO REAL,CAM. MONASTERIO,CAMINO DEL MONASTERIO,Camino Real esq. / Cam. del Monasterio,355391.9137,6310532.8161,,,,4,4,1,C08I,L-16-11-10-NS|PC765|C08I
paradas_frecuentes.11061,POINT (355411.2776905071 6310545.3044566065),7016,7016,L-16-11-5-SN,PC798,LO BARNECHEA,CAMINO REAL,CAM. MONASTERIO,CAMINO DEL MONASTERIO,Camino Real esq. / Cam. del Monasterio,355411.2777,6310545.3045,,,,4,4,1,C08R,L-16-11-5-SN|PC798|C08R
paradas_frecuentes.11062,POINT (354361.9155079183 6312082.422423201),7078,7078,L-16-28-5-NS,PC1097,LO BARNECHEA,PASEO LOS BRAVOS,CAMINO JUAN PABLO II,PASEO ENTREVALLES,Paseo Los Bravos esq. / Paseo Entrevalles,354361.9155,6312082.4224,,,,16,10,2,C10eI;C12R,L-16-28-5-NS|PC1097|C10eI;C12R
paradas_frecuentes.11063,POINT (354388.3565807475 6312076.386504833),7079,7079,L-16-28-5-SN,PC1098,LO BARNECHEA,PASEO LOS BRAVOS,PASEO ENTREVALLES,CAMINO JUAN PABLO II,Paseo Los Bravos esq. / Cam. Juan Pablo II,354388.3566,6312076.3865,,,,12.5,14,2,C10eR;C12I,L-16-28-5-SN|PC1098|C10eR;C12I
paradas_frecuentes.11064,POINT (355333.09461293975 6311836.758779395),7080,7080,L-16-20-55-SN,PC1099,LO BARNECHEA,AVENIDA PASEO PIE ANDINO,PASEO LOS BRAVOS,CAMINO REAL,Av. Paseo Pie Andino esq. / Camino Real,355333.119,6311836.785,,,,12.5,14,2,C10eR;C12I,L-16-20-55-SN|PC1099|C10eR;C12I
paradas_frecuentes.11065,POINT (355327.7966126981 6311911.098260196),7077,7077,L-16-20-50-NS,PC1100,LO BARNECHEA,AVENIDA PASEO PIE ANDINO,CAMINO SANTA MARTINA,LA HUALA,Av. Paseo Pie Andino esq. / La Huala,355327.821,6311911.089,,,,16,10,2,C10eI;C12R,L-16-20-50-NS|PC1100|C10eI;C12R
paradas_frecuentes.11066,POINT (356494.4548785266 6308022.5149393),7087,7087,T-16-451-NS-10,PC942,LO BARNECHEA,AVENIDA JOS ALCALDE DLANO,LOS TRAPENSES,CERRO LA CAMPA¥A,Jos Alcalde Dlano esq. / Cerro La Campa¤a,356494.4549,6308022.5149,,,,21,22,2,C10eR;C14R,T-16-451-NS-10|PC942|C10eR;C14R
paradas_frecuentes.11067,POINT (355888.41551424656 6309566.442932475),7012,7012,L-16-11-35-OP,PC794,LO BARNECHEA,CAMINO REAL,PADRE TED HUARD,CAMINO DE LA CA¥ADA,Camino Real esq. / Camino de La Ca¤ada,355888.4155,6309566.4429,,,,4,4,1,C08R,L-16-11-35-OP|PC794|C08R
paradas_frecuentes.11068,POINT (356129.46740803076 6309613.164745975),6996,6996,L-16-10-50-NS,PC769,LO BARNECHEA,CAMINO LOS TRAPENSES,CAMINO REAL,VALLE DE LA UNIàN,Parada 3 / Rotonda @ Caminos Real,356129.4674,6309613.1647,,,,31,32,6,C08I;C10eR;C12I;C14R;C17R;C21NI,L-16-10-50-NS|PC769|C08I;C10eR;C12I;C14R;C17R;C21NI
paradas_frecuentes.11069,POINT (356148.88876133086 6309584.062567417),5984,5984,L-16-10-52-NS,PC372,LO BARNECHEA,CAMINO LOS TRAPENSES,CAMINO REAL,VALLE DE LA UNIàN,Parada 1 / Rotonda @ Caminos Real,356148.9317,6309584.0226,,,,0,7,1,414eR,L-16-10-52-NS|PC372|414eR
paradas_frecuentes.11070,POINT (356155.7297616177 6309631.18848295),5983,5983,L-16-10-45-SN,PC371,LO BARNECHEA,CAMINO LOS TRAPENSES,VALLE DE LA UNION,CAMINO REAL,Parada 2 / Rotonda @ Caminos Real,356155.7298,6309631.1885,,,,43,28,7,414eI;C08R;C10eI;C12R;C14I;C17I;C21NR,L-16-10-45-SN|PC371|414eI;C08R;C10eI;C12R;C14I;C17I;C21NR
